Formula,FW,DSSTox_CID,SR-HSE,ID,ROMol,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD,SMILES
C27H25ClN6,468.9806 (35.4535+224.2805+209.2465),25848,0,NCGC00178831-03,<rdkit.Chem.rdchem.Mol object at 0x117b8a500>,,,,,,,,,,,,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
C20H6Br4Na2O5,691.8542 (645.8757+22.9892+22.9892),5234,0,NCGC00166114-03,<rdkit.Chem.rdchem.Mol object at 0x117b8aa40>,,,,,,,,,,,,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
C47H83NO17,934.1584 (916.1205+18.0379),28909,0,NCGC00263563-01,<rdkit.Chem.rdchem.Mol object at 0x117b8a810>,,,,,,,,,,,,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+]
C52H54N4O12,927.0048 (329.4575+89.0275+89.0275+329.4575+90.0349),5513,1,NCGC00013058-02,<rdkit.Chem.rdchem.Mol object at 0x117b8a2d0>,,,,,,,,,,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
C66H87N17O14,1342.5025 (1282.4505+60.0520),26683,,NCGC00167516-01,<rdkit.Chem.rdchem.Mol object at 0x117b8a8f0>,0,,,,,,,,,,,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
C20H35NOS,337.5630,25638,1,NCGC00018301-05,<rdkit.Chem.rdchem.Mol object at 0x126828e40>,,,,,,,,,,,,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
C7H5HgNO3,351.7095,31427,1,NCGC00249897-01,<rdkit.Chem.rdchem.Mol object at 0x126829a10>,,,,,,,,,,,,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2
C10H20N2S4,296.5392,1322,1,NCGC00016000-18,<rdkit.Chem.rdchem.Mol object at 0x126829b60>,,,,,,,,,,,,CCN(CC)C(=S)SSC(=S)N(CC)CC
C25H39ClN2O,419.0430 (382.5820+36.4609),26837,,NCGC00181091-01,<rdkit.Chem.rdchem.Mol object at 0x126829d90>,0,,,,,,,,,,,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl
C29H40Cl2FN3O3,568.5506 (495.6287+36.4609+36.4609),24204,,NCGC00094089-01,<rdkit.Chem.rdchem.Mol object at 0x126829fc0>,0,,,,,,,,,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
C26H58Cl2N10,581.7117 (508.7898+36.4609+36.4609),25881,,NCGC00094996-01,<rdkit.Chem.rdchem.Mol object at 0x12682a2d0>,0,,,,,,,,,,,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
C22H26ClF2NO4,441.8959 (405.4350+36.4609),28991,0,NCGC00263579-01,<rdkit.Chem.rdchem.Mol object at 0x12682a730>,,,,,,,,,,,,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
C21H26Cl2O,365.3365,25889,,NCGC00095016-05,<rdkit.Chem.rdchem.Mol object at 0x12682a7a0>,,0,,,,,,,,,,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
C16H23N5O,301.3867,25955,,NCGC00095192-05,<rdkit.Chem.rdchem.Mol object at 0x12682a810>,,0,,,,,,,,,,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
C8H5Cl3O,223.4837,6190,,NCGC00091258-05,<rdkit.Chem.rdchem.Mol object at 0x12682a880>,,1,,,,,,,,,,O=C(CCl)c1ccc(Cl)cc1Cl
C29H44O12,584.6525,23765,0,NCGC00263656-01,<rdkit.Chem.rdchem.Mol object at 0x12682a8f0>,,,,,,,,,,,,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
C17H38BrN,336.3943 (256.4898+79.9045),24367,,NCGC00166121-03,<rdkit.Chem.rdchem.Mol object at 0x12682a960>,,1,,,,,,,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
C22H40BrNO,414.4631 (334.5586+79.9045),13468,,NCGC00257773-01,<rdkit.Chem.rdchem.Mol object at 0x12682a9d0>,0,,,,,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
C21H38BrN,384.4371 (304.5326+79.9045),13307,,NCGC00091023-06,<rdkit.Chem.rdchem.Mol object at 0x12682aa40>,,1,,,,,,,,,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
C25H30ClN3,407.9788 (372.5253+35.4535),653,1,NCGC00091112-09,<rdkit.Chem.rdchem.Mol object at 0x12682aab0>,,,,,,,,,,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
C33H34N4O6,582.6463,120,,NCGC00167436-02,<rdkit.Chem.rdchem.Mol object at 0x12682ab20>,,1,,,,,,,,,,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
C18H14Cl4N4O4,492.1402 (63.0128+429.1273),25943,1,NCGC00177980-03,<rdkit.Chem.rdchem.Mol object at 0x12682ab90>,,,,,,,,,,,,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O
C22H27NO2,337.4553,2880,0,NCGC00179665-04,<rdkit.Chem.rdchem.Mol object at 0x12682ac00>,,,,,,,,,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
